pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
154.15,-95.1,0.0,top,FAN1,,Axial fan 40mm,Axial fan 40mm,tht,False
175.263204,-73.836797,0.0,top,H1,,MountingHole_3.2mm_M3_DIN965_Pad_TopOnly,BoardMount_Pad,tht,False
132.836798,-116.263203,0.0,top,H2,,MountingHole_3.2mm_M3_DIN965_Pad_TopOnly,BoardMount_Pad,tht,False
152.5,-70.525,0.0,top,J1,,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,INPUT,tht,True
177.25,-96.95,90.0,top,J2,,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,MOTOR,tht,True
156.3,-119.275,180.0,top,J3,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,FAN,tht,True
176.45,-83.8,180.0,top,R1,,R_1206_3216Metric,1K,smt,True
176.45,-88.15,180.0,top,R2,,R_1206_3216Metric,10K,smt,True
130.2,-95.05,90.0,top,SBD1,,D_SMA,SS54,smt,True
164.45,-72.85,180.0,top,SBD2,,D_SMA,SS34,smt,True
176.1,-85.9,180.0,top,ZD1,,D_SOD-323,BZT52C5V1S,smt,True
176.35,-81.7,0.0,top,ZD2,,D_SOD-323,BZT52C5V1S,smt,True
145.85,-71.05,0.0,top,kibuzzard-658C2196,,kibuzzard-658C2196,G***,tht,False
147.45,-117.75,0.0,top,kibuzzard-658C21F4,,kibuzzard-658C21F4,G***,tht,False
176.55,-103.25,90.0,top,kibuzzard-658C2284,,kibuzzard-658C2284,G***,tht,False
131.05,-103.75,90.0,top,kibuzzard-658C22D5,,kibuzzard-658C22D5,G***,tht,False
178.45,-104.05,90.0,top,kibuzzard-658C2303,,kibuzzard-658C2303,G***,tht,False
146.55,-119.65,0.0,top,kibuzzard-658C2312,,kibuzzard-658C2312,G***,tht,False
146.15,-72.95,0.0,top,kibuzzard-658C2324,,kibuzzard-658C2324,G***,tht,False
179.45,-88.15,0.0,top,kibuzzard-658C2360,,kibuzzard-658C2360,G***,tht,False
178.65,-85.95,0.0,top,kibuzzard-658C236E,,kibuzzard-658C236E,G***,tht,False
176.45,-80.15,0.0,top,kibuzzard-658C23C6,,kibuzzard-658C23C6,G***,tht,False
164.45,-70.45,0.0,top,kibuzzard-658C23F8,,kibuzzard-658C23F8,G***,tht,False
127.75,-94.85,90.0,top,kibuzzard-658C2410,,kibuzzard-658C2410,G***,tht,False
179.15,-84.55,0.0,top,kibuzzard-658C47D4,,kibuzzard-658C47D4,G***,tht,False
132.95,-105.7,90.0,top,kibuzzard-659E6D3A,,kibuzzard-659E6D3A,G***,tht,False
179.85,-94.5,90.0,bottom,kibuzzard-659E705B,,kibuzzard-659E705B,G***,tht,False
154.95,-72.9,0.0,bottom,kibuzzard-659E706B,,kibuzzard-659E706B,G***,tht,False
166.85,-85.75,0.0,bottom,kibuzzard-659FE543,,kibuzzard-659FE543,G***,tht,False
155.05,-121.7,0.0,bottom,kibuzzard-659FE8A4,,kibuzzard-659FE8A4,G***,tht,False
